id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
29,2561923,18,,4,,3,False,0,False,2025-08-30T14:00:00Z,Gameweek 3,True,3
40,2561934,19,,18,,4,False,0,False,2025-09-13T16:30:00Z,Gameweek 4,False,2
43,2561937,6,,18,,5,False,0,False,2025-09-20T14:00:00Z,Gameweek 5,False,3
60,2561954,18,,20,,6,False,0,False,2025-09-28T13:00:00Z,Gameweek 6,True,2
67,2561961,11,,18,,7,False,0,False,2025-10-04T11:30:00Z,Gameweek 7,False,2
79,2561973,18,,2,,8,False,0,False,2025-10-19T13:00:00Z,Gameweek 8,True,3
86,2561980,9,,18,,9,False,0,False,2025-10-26T16:30:00Z,Gameweek 9,False,3
99,2561993,18,,7,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,True,3
109,2562003,18,,14,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,True,3
111,2562006,1,,18,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,False,4
129,2562023,18,,10,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,True,3
139,2562033,15,,18,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,False,4
149,2562043,18,,5,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,True,3
158,2562052,16,,18,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,False,3
169,2562063,18,,12,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,True,4
175,2562069,8,,18,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,False,3
182,2562076,5,,18,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,False,3
199,2562093,18,,17,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,True,2
202,2562095,4,,18,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,False,3
219,2562113,18,,19,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,True,2
224,2562118,3,,18,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,False,2
239,2562133,18,,13,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,True,4
248,2562142,14,,18,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,False,3
259,2562153,18,,15,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,True,3
269,2562163,18,,1,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,True,4
275,2562169,10,,18,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,False,3
289,2562183,18,,8,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,True,3
296,2562190,12,,18,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,False,5
309,2562203,18,,16,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,True,3
319,2562213,17,,18,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,False,2
330,2562224,18,,6,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,True,3
340,2562234,20,,18,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,False,3
342,2562237,2,,18,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,False,4
359,2562253,18,,11,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,True,2
365,2562259,7,,18,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,False,4
379,2562273,18,,9,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,2
