id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
29,2561923,18,,4,,3,False,0,False,2025-08-30T14:00:00Z,Gameweek 3,False,3
32,2561925,4,,6,,4,False,0,False,2025-09-13T14:00:00Z,Gameweek 4,True,3
42,2561935,4,,15,,5,False,0,False,2025-09-20T14:00:00Z,Gameweek 5,True,3
56,2561950,11,,4,,6,False,0,False,2025-09-27T14:00:00Z,Gameweek 6,False,2
63,2561955,4,,10,,7,False,0,False,2025-10-03T19:00:00Z,Gameweek 7,True,3
73,2561967,8,,4,,8,False,0,False,2025-10-18T14:00:00Z,Gameweek 8,False,3
83,2561975,4,,16,,9,False,0,False,2025-10-26T14:00:00Z,Gameweek 9,True,3
96,2561990,13,,4,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,False,4
101,2561995,2,,4,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,False,4
112,2562005,4,,19,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,True,2
128,2562022,17,,4,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,False,2
132,2562025,4,,9,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,True,2
142,2562035,4,,7,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,True,3
157,2562051,14,,4,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,False,3
162,2562055,4,,3,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,True,2
172,2562066,5,,4,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,False,3
184,2562078,7,,4,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,False,4
192,2562085,4,,1,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,True,4
202,2562095,4,,18,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,True,3
212,2562106,6,,4,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,False,3
222,2562115,4,,12,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,True,4
240,2562134,20,,4,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,False,3
242,2562135,4,,2,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,True,3
255,2562149,9,,4,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,False,3
270,2562164,19,,4,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,False,2
272,2562165,4,,17,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,True,2
282,2562175,4,,5,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,True,3
293,2562187,3,,4,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,False,2
302,2562195,4,,14,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,True,3
311,2562205,1,,4,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,False,4
328,2562222,15,,4,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,False,4
332,2562225,4,,11,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,True,2
343,2562235,4,,8,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,True,3
354,2562248,10,,4,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,False,3
363,2562255,4,,13,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,True,4
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3
