,id,og_id,web_name,team,element_type,starts,minutes,now_cost,bonus,xg_value,xa_value,xgc_value,chance_of_playing_next_round,gw1_pp,gw2_pp,gw3_pp,gw4_pp,gw5_pp,gw6_pp,gw7_pp,pp_1,pp_2,pp_3,pp_4,pp_5,pp_6,pp_7
424,435,328,M.Salah,12,3,9.0,89.56,137,1.22,0.84,0.48,1.15,100.0,14.72,8.32,7.99,7.46,9.53,7.77,7.39,14.72,23.04,31.03,38.49,48.03,55.79,63.18
417,428,321,Gakpo,12,4,9.0,75.22,76,1.0,0.51,0.22,0.7,100.0,9.78,5.34,5.22,4.97,5.88,5.09,4.87,9.78,15.11,20.34,25.31,31.19,36.28,41.15
432,443,336,Szoboszlai,12,3,5.0,62.71,63,0.57,0.37,0.37,0.8,100.0,9.68,5.36,5.13,4.86,6.03,5.05,4.89,9.68,15.03,20.16,25.02,31.05,36.1,40.99
290,297,232,Ndiaye,8,4,9.0,86.33,54,0.78,0.28,0.01,0.93,100.0,9.65,4.33,4.57,4.69,4.86,4.88,4.42,9.65,13.99,18.55,23.24,28.11,32.99,37.41
408,419,311,Alexander-Arnold,12,2,8.0,80.67,73,0.56,0.08,0.45,0.95,100.0,9.24,5.03,4.54,4.38,5.7,4.7,4.9,9.24,14.27,18.8,23.18,28.88,33.59,38.48
292,299,235,Pickford,8,1,9.0,90.0,50,0.44,0.0,0.0,1.02,100.0,9.1,4.45,4.68,4.58,4.77,4.66,4.08,9.1,13.55,18.23,22.81,27.58,32.24,36.31
521,535,401,Isak,15,4,9.0,82.67,95,2.0,1.16,0.2,0.99,100.0,8.27,8.84,8.0,8.38,9.15,8.24,8.83,8.27,17.11,25.11,33.49,42.64,50.88,59.71
127,130,99,Mbeumo,4,3,9.0,90.0,78,0.89,0.56,0.22,1.6,100.0,8.14,7.25,7.89,6.11,6.59,6.1,6.26,8.14,15.39,23.28,29.39,35.99,42.09,48.35
295,302,238,Young,8,2,6.0,65.38,46,0.38,0.07,0.01,0.85,100.0,8.03,3.74,4.05,3.99,4.25,4.14,3.4,8.03,11.77,15.83,19.82,24.07,28.21,31.61
423,434,327,Luis Díaz,12,3,7.0,71.38,75,0.25,0.37,0.03,0.82,100.0,7.61,4.15,3.97,3.79,4.62,3.94,3.86,7.61,11.76,15.73,19.52,24.14,28.07,31.93
289,296,231,Mykolenko,8,2,9.0,90.0,44,0.44,0.01,0.07,1.02,100.0,7.57,3.58,3.86,3.78,4.01,3.9,3.22,7.57,11.14,15.0,18.78,22.79,26.7,29.92
425,436,329,Mac Allister,12,3,8.0,84.38,62,0.25,0.15,0.37,0.82,100.0,7.49,4.08,3.9,3.73,4.53,3.87,3.8,7.49,11.57,15.47,19.2,23.73,27.6,31.4
407,418,310,A.Becker,12,1,8.0,90.0,55,0.12,0.0,0.01,0.98,100.0,7.25,3.74,3.32,3.33,4.04,3.58,3.92,7.25,10.99,14.31,17.63,21.68,25.25,29.17
277,284,219,Branthwaite,8,2,9.0,90.0,48,0.33,0.02,0.01,1.02,100.0,6.81,3.27,3.52,3.42,3.63,3.52,2.9,6.81,10.08,13.59,17.01,20.64,24.16,27.06
226,231,182,Palmer,6,3,9.0,89.22,113,1.44,0.48,0.24,1.53,100.0,6.68,6.1,6.26,7.57,7.08,5.7,7.24,6.68,12.78,19.04,26.61,33.69,39.4,46.63
293,300,236,Tarkowski,8,2,9.0,90.0,48,0.11,0.01,0.03,1.02,100.0,6.57,3.12,3.38,3.29,3.51,3.4,2.76,6.57,9.69,13.08,16.37,19.88,23.28,26.04
280,287,222,Gana,8,3,9.0,86.33,48,0.33,0.01,0.13,0.99,100.0,6.51,3.06,3.2,3.21,3.32,3.3,3.0,6.51,9.57,12.77,15.98,19.31,22.61,25.6
422,433,326,Konaté,12,2,4.0,83.75,52,0.0,0.02,0.2,0.82,100.0,6.51,3.47,3.03,2.98,3.91,3.25,3.54,6.51,9.98,13.01,15.99,19.9,23.15,26.69
477,490,364,Amad,14,3,9.0,88.67,56,1.0,0.45,0.2,1.57,100.0,6.06,7.78,5.88,8.41,5.48,7.56,5.87,6.06,13.84,19.72,28.14,33.62,41.18,47.04
