name,team,position,gw1_opponent_team,gw2_opponent_team,gw3_opponent_team,gw4_opponent_team,gw5_opponent_team,gw6_opponent_team,gw7_opponent_team,gw8_opponent_team,gw9_opponent_team,gw10_opponent_team,gw11_opponent_team,gw12_opponent_team,gw13_opponent_team,gw14_opponent_team,gw15_opponent_team,gw16_opponent_team,gw17_opponent_team,gw18_opponent_team,gw19_opponent_team,gw20_opponent_team,gw21_opponent_team,gw22_opponent_team,gw23_opponent_team,gw24_opponent_team,gw25_opponent_team,gw26_opponent_team,gw27_opponent_team,gw28_opponent_team,gw29_opponent_team,gw30_opponent_team,gw31_opponent_team,gw32_opponent_team,gw33_opponent_team,gw34_opponent_team,gw35_opponent_team,gw36_opponent_team,gw37_opponent_team,gw38_opponent_team
Aaron Cresswell,19.0,DEF,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0,14.0,7.0,10.0,1.0,4.0,11.0,20.0,8.0,15.0,6.0,18.0,16.0,5.0,2.0,,17.0,9.0,1.0,3.0,12.0,7.0,14.0,4.0,11.0,10
Aaron Hickey,4.0,DEF,10.0,14.0,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0,20.0,16.0,13.0,18.0,19.0,12.0,3.0,11.0,17.0,1.0,7.0,,9.0,8.0,10.0,5.0,15.0,20.0,2.0,6.0,16.0,12.0,19.0,18.0,13
Aaron Ramsdale,1.0,GK,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,,17.0,16.0,6.0,20.0,19.0,5.0,15.0,18.0,14.0,8.0,4.0,2.0,10.0,3.0,9.0,7.0,11.0,12.0,19.0,17.0,13.0,6.0,15.0,5.0,16.0,20
Aaron Wan-Bissaka,14.0,DEF,5.0,4.0,12.0,17.0,10.0,1.0,,,13.0,8.0,15.0,18.0,6.0,19.0,2.0,9.0,16.0,20.0,3.0,13.0,1.0,7.0,11.0,10.0,,12.0,17.0,,15.0,8.0,16.0,,18.0,2.0,19.0,20.0,3.0,9
Abdoulaye DoucourÃ©,8.0,MID,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0,9.0,10.0,3.0,20.0,13.0,5.0,17.0,19.0,1.0,12.0,11.0,2.0,16.0,4.0,6.0,18.0,14.0,9.0,7.0,15.0,10.0,5.0,13.0,20.0,3
Adam Armstrong,17.0,FWD,18.0,11.0,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0,7.0,15.0,12.0,5.0,9.0,16.0,8.0,2.0,4.0,20.0,6.0,11.0,10.0,14.0,18.0,19.0,13.0,7.0,1.0,3.0,15.0,16.0,9.0,5.0,12
Adam Forshaw,10.0,MID,20.0,17.0,6.0,5.0,8.0,4.0,,,2.0,7.0,1.0,10.0,9.0,12.0,3.0,18.0,13.0,15.0,19.0,2.0,4.0,16.0,14.0,8.0,17.0,6.0,5.0,20.0,1.0,7.0,12.0,9.0,10.0,3.0,13.0,15.0,19.0,18
Adam Lallana,5.0,MID,14.0,15.0,19.0,11.0,9.0,10.0,,,12.0,18.0,4.0,16.0,13.0,6.0,20.0,2.0,17.0,1.0,8.0,12.0,10.0,3.0,7.0,9.0,,19.0,11.0,,4.0,18.0,6.0,,16.0,20.0,8.0,1.0,17.0,2
Adam Smith,3.0,DEF,2.0,13.0,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0,18.0,11.0,8.0,6.0,7.0,14.0,4.0,16.0,5.0,15.0,20.0,13.0,1.0,12.0,2.0,9.0,10.0,18.0,19.0,17.0,11.0,6.0,7.0,14.0,8
Adam Webster,5.0,DEF,14.0,15.0,19.0,11.0,9.0,10.0,,,12.0,18.0,4.0,16.0,13.0,6.0,20.0,2.0,17.0,1.0,8.0,12.0,10.0,3.0,7.0,9.0,,19.0,11.0,,4.0,18.0,6.0,,16.0,20.0,8.0,1.0,17.0,2
Adama TraorÃ© Diarra,20.0,MID,11.0,9.0,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0,4.0,5.0,1.0,8.0,14.0,2.0,19.0,13.0,12.0,17.0,3.0,9.0,18.0,15.0,11.0,16.0,6.0,4.0,10.0,7.0,5.0,2.0,14.0,8.0,1
AdriÃ¡n San Miguel del Castillo,12.0,GK,9.0,7.0,14.0,3.0,15.0,8.0,,,5.0,1.0,13.0,19.0,16.0,11.0,18.0,17.0,2.0,10.0,4.0,5.0,6.0,20.0,8.0,15.0,7.0,14.0,3.0,,13.0,1.0,11.0,16.0,19.0,18.0,4.0,10.0,2.0,17
Ainsley Maitland-Niles,1.0,MID,7.0,10.0,3.0,9.0,2.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0,7.0,15.0,12.0,5.0,9.0,16.0,8.0,2.0,4.0,20.0,6.0,11.0,10.0,14.0,18.0,19.0,13.0,7.0,1.0,3.0,15.0,16.0,9.0,5.0,12
Albert Sambi Lokonga,1.0,MID,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,,17.0,16.0,6.0,20.0,19.0,5.0,15.0,18.0,14.0,14.0,5.0,4.0,12.0,2.0,13.0,1.0,10.0,11.0,17.0,8.0,20.0,19.0,18.0,3.0,9.0,16
Alejandro Garnacho,14.0,MID,5.0,4.0,12.0,17.0,10.0,1.0,,,13.0,8.0,15.0,18.0,6.0,19.0,2.0,9.0,16.0,20.0,3.0,13.0,1.0,7.0,11.0,10.0,,12.0,17.0,,15.0,8.0,16.0,,18.0,2.0,19.0,20.0,3.0,9
