name,team,position,gw1_expected_goals_conceded,gw2_expected_goals_conceded,gw3_expected_goals_conceded,gw4_expected_goals_conceded,gw5_expected_goals_conceded,gw6_expected_goals_conceded,gw7_expected_goals_conceded,gw8_expected_goals_conceded,gw9_expected_goals_conceded,gw10_expected_goals_conceded,gw11_expected_goals_conceded,gw12_expected_goals_conceded,gw13_expected_goals_conceded,gw14_expected_goals_conceded,gw15_expected_goals_conceded,gw16_expected_goals_conceded,gw17_expected_goals_conceded,gw18_expected_goals_conceded,gw19_expected_goals_conceded,gw20_expected_goals_conceded,gw21_expected_goals_conceded,gw22_expected_goals_conceded,gw23_expected_goals_conceded,gw24_expected_goals_conceded,gw25_expected_goals_conceded,gw26_expected_goals_conceded,gw27_expected_goals_conceded,gw28_expected_goals_conceded,gw29_expected_goals_conceded,gw30_expected_goals_conceded,gw31_expected_goals_conceded,gw32_expected_goals_conceded,gw33_expected_goals_conceded,gw34_expected_goals_conceded,gw35_expected_goals_conceded,gw36_expected_goals_conceded,gw37_expected_goals_conceded,gw38_expected_goals_conceded
Aaron Connolly,5.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.05,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.65,0.02,0.0,0.0,0.05,0.0,0.6,0.0,0.68,0.0,2.01
Aaron Hickey,4.0,DEF,1.02,0.36,0.8,2.02,1.43,1.81,0.22,1.43,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,1.0,GK,1.18,1.06,0.53,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,,,,,0.3,0.0,0.0,0.49,1.91,0.39,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.91,0.0,0.0,0.0,2.02,0.0,0.37,0.84,2.14,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,14.0,DEF,2.27,1.25,1.24,2.27,0.74,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.14,2.65,0.0,0.0,0.0,1.36,1.68,0.74,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.6,3.04,3.59,1.75,0.77,2.06,1.47,1.71,1.55
Abdoulaye DoucourÃ©,9.0,MID,1.5,3.11,1.16,1.24,1.02,1.04,0.89,0.72,2.24,0.66,0.53,2.24,2.18,0.71,1.58,0.93,0.48,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.57,1.04,1.28,2.21,,1.56,1.42,0.46,2.96,0.85,0.84,0.56,0.35,2.76
Abdul Rahman Baba,7.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Davies,17.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,5.0,MID,0.0,0.18,1.15,0.47,0.73,0.0,0.0,0.0,0.0,0.15,0.49,1.01,0.63,1.11,0.0,0.28,1.28,0.33,0.35,0.0,0.4,0.0,0.03,0.97,0.0,0.12,0.62,0.01,,0.22,0.45,0.0,0.04,0.82,0.0,0.0,0.0,0.29
Adam Smith,3.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.54,0.0,0.6,0.0,0.21,0.81,0.68,0.84,1.16,,0.75,0.28,1.79,0.0,1.31,0.56,1.55,2.26,1.64,1.53,1.27,,1.12,0.1,1.4,1.15,0.62,1.0,3.89,0.78,0.0
Adam Webster,5.0,DEF,0.0,2.06,3.33,0.0,0.0,1.37,1.58,0.0,0.0,0.71,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.4,0.0,0.0,0.0,0.19,0.0,1.24,0.0,,0.0,0.0,0.0,0.0,0.0,0.27,0.06,2.27,1.2
Adam Wharton,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.21,1.64,0.05,0.95,0.66,,0.92,1.17,1.91,2.87,1.24,1.14,0.35,1.57,1.08
Adama TraorÃ©,,,,1.27,0.94,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.19,0.05,0.3,0.0,1.19,0.8,0.4,0.0,0.03,0.0,0.02,1.96,1.73
Ademola Ola-Adebomi,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Muskwe,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdriÃ¡n San Miguel del Castillo,11.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aidan Francis-Clarke,12.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Sambi Lokonga,1.0,MID,0.0,0.0,0.0,0.0,0.93,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,,1.28,2.59,1.5,0.99,0.36,2.28,1.81,2.81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.21,1.43,3.24,1.06
Alejandro Garnacho,14.0,MID,1.19,1.25,0.0,0.74,0.74,0.0,0.49,0.25,0.05,1.15,1.01,0.35,1.58,2.65,1.4,1.06,1.65,1.36,1.68,0.74,1.36,1.97,1.69,2.49,1.74,1.11,3.2,1.48,,1.55,2.17,2.45,1.27,0.77,2.06,1.47,1.71,1.55
Alejo VÃ©liz,18.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.86,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.79,0.19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Aleksandar MitroviÄ,10.0,FWD,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,9.0,MID,1.5,2.13,0.0,0.0,0.42,0.12,0.56,0.55,0.68,1.0,0.56,2.12,1.41,1.1,0.22,1.03,2.4,0.41,1.82,1.58,0.0,0.0,0.0,0.0,0.54,1.67,0.84,0.83,2.08,1.87,0.71,0.59,0.91,0.99,1.01,0.62,3.25,2.11
Alex Matos,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Mighten,16.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Murphy,15.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
Alex Scott,3.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.88,0.73,0.0,0.0,0.0,0.0,0.0,,0.24,0.28,1.44,0.65,1.24,0.05,1.55,0.76,0.16,0.3,0.0,,0.0,0.1,0.51,0.0,1.07,1.0,3.43,0.65,0.38
Alex Telles,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Isak,15.0,FWD,1.5,0.81,0.4,1.32,0.0,0.21,0.65,1.14,0.82,0.0,0.0,0.0,0.58,0.36,3.23,2.3,0.0,0.56,3.46,7.27,2.84,0.02,0.0,0.0,0.0,2.03,0.61,1.67,,1.42,1.42,1.27,0.73,0.88,1.48,0.68,1.18,1.13
Alexandre Moreno Lopera,2.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.51,0.56,0.71,0.98,1.13,2.54,1.26,1.75,0.82,1.87,2.15,0.68,1.25,1.31,0.7,0.0,0.03,0.0,0.0,0.05,0.0,0.0
