name,team,position,goals_scored_1,goals_scored_2,goals_scored_3,goals_scored_4,goals_scored_5,goals_scored_6,goals_scored_7,goals_scored_8,goals_scored_9,goals_scored_10,goals_scored_11
Aaron Ramsey,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Wharton,,,,,,,,,,,,,
Adama Traor̩,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ademola Ola-Adebomi,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Admiral Muskwe,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aidan Francis-Clarke,12.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Matos,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfie Dorrington,,,,,,,,,,,,,
Alfie Doughty,12.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfie Gilchrist,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Campbell,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altay Bayindir,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Diallo,,,,,,,,,,,,,
Amara Nallo,,,,,,,,,,,,,
Amari'i Bell,12.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ameen Al-Dakhil,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anass Zaroury,6.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Omobamidele,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend,,,,,,,,,,,0.0,0.0,0.0
Anssumane Fati Vieira,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Aribim Pepple,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arijanet Muric,6.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Phillips,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Piesold,,,,,,,,,,,,,
Bailey Peacock-Farrell,6.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bashir Humphreys,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Brereton,,,,,,,,,,,,,
Ben Jackson,,,,,,,,,,,,,
Ben Parkinson,,,,,,,,,,,,,
Benicio Baker-Boaitey,,,,,,,,,,,,,
Benjamin Arthur,,,,,,,,,,,,,
Benjamin Fredrick,,,,,,,,,,,,,
Billy Blacker,,,,,,,,,,,,,
Billy Crellin,,,,,,,,,,,,,
Bobby Thomas,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley Ibrahim,,,,,,,,,,,,,
CJ Egan-Riley,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callan McKenna,,,,,,,,,,,,,
Callum Marshall,,,,,,,,,,,,,
Callum Scanlon,,,,,,,,,,,0.0,0.0,0.0
Cameron Peupion,,,,,,,,,,,,,
Carlos Baleba,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Mendes Gomes,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlton Morris,12.0,FWD,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cauley Woodrow,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesare Casadei,,,,,,,,,,,,,
Charles Sagoe,,,,,,,,,,,,,
Charlie Taylor,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chiedozie Ogbene,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Christian Chigozie,,,,,,,,,,,,,
Cl̩ment Lenglet,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Roberts,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Bradley,,,,,,,,,,,,,
Daiki Hashioka,,,,,,,,,,,,,
Dan Potts,12.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Gore,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Mu̱oz,,,,,,,,,,,,,
Dara Costelloe,6.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dara O'Shea,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darko Churlinov,6.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ozoh,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Deivid Washington de Souza Eug̻nio,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Franchi,6.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dermot Mee,,,,,,,,,,,,,
Detlef Esapa Osong,,,,,,,,,,,,,
Devan Tanton,,,,,,,,,,,,0.0,0.0
Diego Manuel Jadon da Silva Moreira,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dion Pereira,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divock Origi,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djordje Petrovic,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Dos Santos Martins,,,,,,,,,,,,,
Dominic Sadi,,,,,,,,,,,,,
Dovydas Sasnauskas,,,,,,,,,,,,,
Eddie Beach,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
