name,team,position,opponent_team_1,opponent_team_2,opponent_team_3,opponent_team_4,opponent_team_5,opponent_team_6,opponent_team_7,opponent_team_8,opponent_team_9,opponent_team_10,opponent_team_11
Aaron Ramsey,,,,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Adam Wharton,,,,,,,,,,,,,
Adama TraorÃ©,,,,4.0,1.0,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0
Ademola Ola-Adebomi,,,,,,,,,14.0,16.0,15.0,18.0,6.0
Admiral Muskwe,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Aidan Francis-Clarke,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Alex Matos,,,,,,,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Alfie Dorrington,,,,,,,,,,,,,
Alfie Doughty,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Alfie Gilchrist,,,,,,,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Allan Campbell,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Altay Bayindir,,,,,,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0
Amadou Diallo,,,,,,,,,,,,,
Amara Nallo,,,,,,,,,,,,,
Amari'i Bell,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Ameen Al-Dakhil,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Anass Zaroury,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Andrew Omobamidele,,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0
Andros Townsend,,,,,,,,,,,16.0,2.0,11.0
Anssumane Fati Vieira,,,,,,15.0,14.0,3.0,2.0,11.0,13.0,10.0,9.0
Aribim Pepple,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Arijanet Muric,6.0,GK,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Ashley Phillips,,,,,,6.0,17.0,1.0,11.0,12.0,10.0,8.0,7.0
Axel Piesold,,,,,,,,,,,,,
Bailey Peacock-Farrell,6.0,GK,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Bashir Humphreys,,,,19.0,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Ben Brereton,,,,,,,,,,,,,
Ben Jackson,,,,,,,,,,,,,
Ben Parkinson,,,,,,,,,,,,,
Benicio Baker-Boaitey,,,,,,,,,,,,,
Benjamin Arthur,,,,,,,,,,,,,
Benjamin Fredrick,,,,,,,,,,,,,
Billy Blacker,,,,,,,,,,,,,
Billy Crellin,,,,,,,,,,,,,
Bobby Thomas,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Bradley Ibrahim,,,,,,,,,,,,,
CJ Egan-Riley,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Callan McKenna,,,,,,,,,,,,,
Callum Marshall,,,,,,,,,,,,,
Callum Scanlon,,,,,,,,,,,9.0,16.0,12.0
Cameron Peupion,,,,,,,,,,,,,
Carlos Baleba,,,,,,15.0,14.0,3.0,2.0,11.0,13.0,10.0,9.0
Carlos Mendes Gomes,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Carlton Morris,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Cauley Woodrow,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Cesare Casadei,,,,,,,,,,,,,
Charles Sagoe,,,,,,,,,,,,,
Charlie Taylor,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Chiedozie Ogbene,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Christian Chigozie,,,,,,,,,,,,,
ClÃ©ment Lenglet,,,,,,11.0,8.0,7.0,5.0,20.0,19.0,12.0,16.0
Connor Roberts,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Conor Bradley,,,,,,,,,,,,,
Daiki Hashioka,,,,,,,,,,,,,
Dan Potts,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Daniel Gore,,,,,16.0,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0
Daniel MuÃ±oz,,,,,,,,,,,,,
Dara Costelloe,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Dara O'Shea,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Darko Churlinov,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
David Ozoh,,,,,,,,,14.0,16.0,15.0,18.0,6.0
Deivid Washington de Souza EugÃªnio,,,,,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Denis Franchi,6.0,GK,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Dermot Mee,,,,,,,,,,,,,
Detlef Esapa Osong,,,,,,,,,,,,,
Devan Tanton,,,,,,,,,,,,5.0,14.0
Diego Manuel Jadon da Silva Moreira,,,,,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Dion Pereira,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Divock Origi,,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0
Djordje Petrovic,,,,,,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Dominic Dos Santos Martins,,,,,,,,,,,,,
Dominic Sadi,,,,,,,,,,,,,
Dovydas Sasnauskas,,,,,,,,,,,,,
Eddie Beach,,,,,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Elijah Adebayo,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Elijah Campbell,,,,,,,,,,,,,
Elliot Thorpe,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Enes Ãnal,,,,,,,,,,,,,
Enock Agyei,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Enso GonzÃ¡lez,,,,,,8.0,11.0,12.0,13.0,2.0,3.0,15.0,17.0
Ethan Brierley,,,,,8.0,3.0,15.0,9.0,16.0,14.0,6.0,7.0,19.0
Ethan Nwaneri,,,,,,,,,,,,,
Ethan Wheatley,,,,,,,,,,,,,
Fabian Mrozek,,,,,,,,,,,,,
Filip Marschall,,,,9.0,6.0,11.0,8.0,7.0,5.0,20.0,19.0,12.0,16.0
Finley Munroe,,,,,,,,,,,,,
Fletcher Holman,,,,,,,,,,,,,
FodÃ© Ballo-TourÃ©,,,,,,,12.0,8.0,7.0,17.0,18.0,5.0,14.0
Franco Umeh-Chibueze,,,,,,,,,,,,,
Fred Onyedinma,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Gabriel Osho,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
George Earthy,,,,,,,,,,,,,
Giovanni Reyna,,,,,,,,,,,,,
Glen Rea,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Gonzalo Montiel,,,,,14.0,7.0,6.0,13.0,4.0,8.0,12.0,11.0,2.0
Gustavo Hamer,,,,16.0,13.0,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0
Habeeb Ogunneye,,,,,,,,,,,,,
Han-Noah Massengo,,,,,,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Hannes Delcroix,,,,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Harry Amass,,,,,,,,,,,,,
Harvey Griffiths,,,,,,,,,,,,,
Hjalmar Ekdal,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
HÃ¡kon Valdimarsson,,,,,,,,,,,,,
Ibrahim SangarÃ©,,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0
IshÃ© Samuels-Smith,,,,,,,,,,,,,
Issa KaborÃ©,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Ivo Grbic,,,,,,,,,,,,,
Jack Cork,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Jack Harrison,,,,2.0,20.0,17.0,1.0,4.0,12.0,3.0,11.0,19.0,5.0
Jack Walton,12.0,GK,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Jacob Brown,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Jacob Bruun Larsen,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Jacob Wright,,,,,,,,,,,,,
Jadan Raymond,,,,,,,,,,16.0,15.0,18.0,6.0
James Shea,12.0,GK,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
James Sweet,,,,,,,,,,,,,
James Trafford,6.0,GK,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
James Ward-Prowse,,,,7.0,5.0,12.0,13.0,11.0,17.0,15.0,2.0,9.0,4.0
James Wright,,,,,,,,,,,,,
Jamie Donley,,,,,,,,,11.0,12.0,10.0,8.0,7.0
Jamie McDonnell,,,,,,,,,,,,,
Jay Rodriguez,6.0,FWD,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Jayden Danns,,,,,,,,,,,,,
Jayden Luker,,,,,,,,,,,16.0,2.0,11.0
Jean-Ricner Bellegarde,,,,,,,11.0,12.0,13.0,2.0,3.0,15.0,17.0
Jenson Metcalfe,,,,,,,,,,,,,
Ji-Soo Kim,,,,,,,,,,14.0,6.0,7.0,19.0
Jili Buyabu,,,,,,,,,,,14.0,1.0,20.0
Jimi Tauriainen,,,,,,,,,,,,,
Joe Gardner,,,,,,,,,,,,,
Joe Gauci,,,,,,,,,,,,,
Joe Hugill,,,,,,,,,,,,,
Joe Taylor,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Joe White,,,,,,,,,,,,,
John McAtee,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Jonny Evans,,,,,,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0
Jordan Beyer,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Jordan Clark,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Joseph Johnson,,,,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Josh Acheampong,,,,,,,,,,,,,
Josh Brooking,,,,,,,,,10.0,6.0,1.0,4.0,18.0
Josh Brownhill,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Josh Cullen,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Joshua Duffus,,,,,,,,,,,,,
Joshua King,,,,,,,,,,,,,
Justin Hubner,,,,,,,,,,,,,
JÃ©rÃ©my Doku,,,,,17.0,10.0,19.0,16.0,20.0,1.0,5.0,14.0,3.0
JÃ³hann Berg Gudmundsson,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Kadan Young,,,,,,,,,,,,,
Kaden Rodney,,,,,,,,,,,,,
