name,team,position,minutes_1,minutes_2,minutes_3,minutes_4,minutes_5,minutes_6,minutes_7,minutes_8,minutes_9,minutes_10,minutes_11
Aaron Cresswell,19.0,DEF,90.0,90.0,90.0,90.0,71.0,0.0,,90.0,90.0,90.0,90.0
Aaron Hickey,4.0,DEF,83.0,79.0,59.0,90.0,78.0,90.0,,90.0,29.0,82.0,0.0
Aaron Ramsdale,1.0,GK,90.0,90.0,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,90.0
Aaron Wan-Bissaka,14.0,DEF,0.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Abdoulaye DoucourÃ©,8.0,MID,90.0,34.0,0.0,0.0,0.0,0.0,,9.0,1.0,0.0,0.0
Adam Armstrong,17.0,FWD,45.0,29.0,69.0,76.0,85.0,82.0,,70.0,30.0,65.0,73.0
Adam Forshaw,10.0,MID,0.0,2.0,29.0,16.0,0.0,0.0,,,0.0,0.0,0.0
Adam Lallana,5.0,MID,75.0,64.0,62.0,0.0,0.0,0.0,,,14.0,8.0,22.0
Adam Smith,3.0,DEF,90.0,90.0,90.0,45.0,90.0,90.0,,90.0,90.0,90.0,90.0
Adam Webster,5.0,DEF,90.0,90.0,90.0,90.0,90.0,90.0,,,90.0,90.0,90.0
Adama TraorÃ© Diarra,20.0,MID,0.0,11.0,19.0,0.0,15.0,8.0,,0.0,66.0,71.0,84.0
AdriÃ¡n San Miguel del Castillo,12.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ainsley Maitland-Niles,1.0,MID,0.0,0.0,0.0,0.0,0.0,17.0,,0.0,66.0,0.0,74.0
Albert Sambi Lokonga,1.0,MID,1.0,0.0,2.0,0.0,90.0,73.0,,12.0,17.0,0.0,0.0
Alejandro Garnacho,14.0,MID,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aleksandar MitroviÄ,9.0,FWD,90.0,90.0,90.0,90.0,90.0,90.0,,89.0,36.0,0.0,90.0
Alex Iwobi,8.0,MID,90.0,90.0,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,90.0
Alex McCarthy,17.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alex Mighten,16.0,MID,7.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alex Oxlade-Chamberlain,12.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Robertson,,,,,,,,,,,,,
Alex Smithies,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alex Telles,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alexander Isak,,,,,,0.0,63.0,90.0,,90.0,0.0,0.0,0.0
Alexandre Moreno Lopera,,,,,,,,,,,,,
Alexis Mac Allister,5.0,MID,90.0,90.0,90.0,90.0,90.0,90.0,,,90.0,90.0,90.0
Alfie Devine,18.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alfie Gilchrist,,,,,,,,,,,,,
Alisson Ramses Becker,12.0,GK,90.0,90.0,90.0,90.0,90.0,90.0,,,90.0,90.0,90.0
Allan Marques Loureiro,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Allan Saint-Maximin,15.0,MID,89.0,74.0,90.0,90.0,0.0,0.0,,0.0,0.0,12.0,0.0
Alphonse Areola,19.0,GK,61.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Amad Diallo,14.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Amadou Onana,,,,9.0,33.0,78.0,90.0,90.0,,90.0,73.0,90.0,90.0
Amario Cozier-Duberry,,,,,,,,,,,,,
Andreas Hoelgebaum Pereira,9.0,MID,88.0,85.0,90.0,78.0,77.0,60.0,,82.0,90.0,76.0,86.0
Andrew Moran,,,,,,,,,,,,,
Andrew Robertson,12.0,DEF,90.0,62.0,84.0,68.0,70.0,31.0,,,0.0,0.0,90.0
Andrey Nascimento dos Santos,,,,,,,,,,,,,
Andros Townsend,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
AndrÃ© Ayew,,,,,,,,,,,,,
AndrÃ© Tavares Gomes,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Andy Lonergan,,,,,,,,,,,,,
Angelo Ogbonna,19.0,DEF,0.0,0.0,0.0,0.0,18.0,7.0,,0.0,0.0,0.0,0.0
Anthony Elanga,14.0,MID,1.0,30.0,45.0,79.0,58.0,0.0,,,0.0,0.0,0.0
Anthony Gordon,8.0,MID,90.0,90.0,90.0,90.0,90.0,81.0,,74.0,16.0,66.0,0.0
Anthony Knockaert,9.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Anthony Martial,14.0,FWD,0.0,0.0,45.0,0.0,0.0,0.0,,,31.0,28.0,0.0
Antoine Semenyo,,,,,,,,,,,,,
Antonee Robinson,9.0,DEF,90.0,90.0,90.0,90.0,90.0,28.0,,0.0,0.0,90.0,90.0
Antony Matheus dos Santos,,,,,,,,57.0,,,90.0,90.0,90.0
Anwar El Ghazi,2.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Archie Gray,10.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Armando Broja,6.0,FWD,15.0,1.0,0.0,0.0,24.0,30.0,,,15.0,18.0,1.0
Armel Bella-Kotchap,17.0,DEF,0.0,90.0,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,41.0
Armstrong Oko-Flex,19.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Arnaut Danjuma,,,,,,,,,,,,,
Arthur Henrique Ramos de Oliveira Melo,,,,,,,,0.0,,,0.0,0.0,0.0
Arthur Masuaku,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Ashley Young,2.0,DEF,0.0,1.0,0.0,0.0,0.0,63.0,,90.0,90.0,90.0,90.0
Asmir BegoviÄ,8.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,0.0,0.0,0.0
Aymeric Laporte,13.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,0.0,0.0
Ayoze PÃ©rez,11.0,MID,0.0,0.0,64.0,35.0,0.0,0.0,,0.0,0.0,4.0,0.0
Bashir Humphreys,,,,,,,,,,,,,
Ben Chilwell,6.0,DEF,64.0,0.0,13.0,1.0,23.0,18.0,,,90.0,0.0,90.0
Ben Davies,12.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Ben Doak,,,,,,,,,,,,,
Ben Godfrey,8.0,DEF,17.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Ben Greenwood,,,,,,,,,,,,,
Ben Johnson,19.0,DEF,90.0,90.0,15.0,22.0,0.0,0.0,,0.0,0.0,0.0,90.0
Ben Knight,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
