team,expected_assists_1,expected_assists_2,expected_assists_3,expected_assists_4,expected_assists_5,expected_assists_6,expected_assists_7,expected_assists_8,expected_assists_9,expected_assists_10,expected_assists_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1.61,0.34,1.3900000000000001,0.25,0.5900000000000001,0.55,0.19,1.18,0.2,0.77,0.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1.61,0.34,1.3900000000000001,0.25,0.5900000000000001,0.55,0.19,1.18,0.2,0.77,0.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.44,1.15,0.99,1.55,1.09,0.35000000000000003,1.9000000000000001,1.1800000000000002,0.71,1.3900000000000001,1.18
19.0,1.09,0.77,0.63,0.35000000000000003,0.9099999999999999,1.0,1.74,0.8800000000000001,1.15,0.33,0.8200000000000001
6.0,0.91,0.62,1.0899999999999999,0.42000000000000004,1.0,1.49,1.17,0.93,0.92,0.9800000000000001,1.2
17.0,1.61,0.34,1.3900000000000001,0.25,0.5900000000000001,0.55,0.19,1.18,0.2,0.77,0.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
