team,expected_goals_1,expected_goals_2,expected_goals_3,expected_goals_4,expected_goals_5,expected_goals_6,expected_goals_7,expected_goals_8,expected_goals_9,expected_goals_10,expected_goals_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1.8199999999999998,0.14,1.39,0.8999999999999999,2.39,0.41000000000000003,0.48000000000000004,2.17,0.21000000000000002,0.73,0.43000000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1.8199999999999998,0.14,1.39,0.8999999999999999,2.39,0.41000000000000003,0.48000000000000004,2.17,0.21000000000000002,0.73,0.43000000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.44,1.78,0.9400000000000001,1.46,1.93,1.25,2.6,1.78,1.25,1.05,1.53
19.0,2.45,1.3800000000000001,0.72,0.76,0.75,1.11,3.8499999999999996,0.7899999999999999,2.98,0.13,0.79
6.0,1.02,1.3800000000000001,2.25,0.99,2.01,4.08,2.75,1.08,1.6500000000000001,1.1800000000000002,1.27
17.0,1.8199999999999998,0.14,1.39,0.8999999999999999,2.39,0.41000000000000003,0.48000000000000004,2.17,0.21000000000000002,0.73,0.43000000000000005
